id,title,overview,genre_ids,vote_average,poster_path
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","[18, 80]",8.712,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","[18, 80]",8.687,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","[18, 80]",8.6,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"[18, 36, 10752]",8.566,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",[18],8.549,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","[16, 10751, 14]",8.537,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","[18, 28, 80, 53]",8.522,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","[35, 18, 10749]",8.5,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg
497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","[14, 18, 80]",8.5,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","[35, 53, 18]",8.499,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","[53, 80, 35]",8.488,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg
122,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","[12, 14, 28]",8.488,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","[16, 10749, 18]",8.483,/q719jXXEzOoYaps6babgKnONONX.jpg
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[35, 18, 10749]",8.469,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
429,"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",[37],8.465,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"[12, 18, 878]",8.458,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
346,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","[28, 18]",8.5,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg
769,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","[18, 80]",8.455,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
12477,Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.","[16, 18, 10752]",8.45,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg
617126,The Fantastic Four: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","[878, 12]",6.097,/x26MtUlwtWD26d0G0FXcppxCJio.jpg
968171,Sex Education Mistresses,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",[35],6.056,/xghWMg0pkBOdLHCTESyeyHU68wl.jpg
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","[28, 12, 53, 80]",5.951,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
1357933,The Cellar,"A young girl wakes up imprisoned underground, with amnesia. She must escape, unravel the mystery behind her captivity, and confront her personal struggles. A suspenseful tale of survival, truth, and inner turmoil unfolds.",[27],7.6,/tNUzN0zqewZEmvnmyFSiGUKUS82.jpg
947478,The Green Dinosaur,"When the world around him is mysteriously erased, a little green dinosaur named Diplodocus must travel through the pages of a comic book and adventure through time to bring color back to his land. Alongside a wizard and two scientists, Diplo’s plans go awry as he learns that there may be a dimension to his world that he never considered.","[16, 10751, 12, 14, 35]",8.0,/9mnMMiwv20EL5weJrLZCaF8cM2u.jpg
615453,Ne Zha,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.","[16, 14, 12]",7.945,/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg
1287536,Dora and the Search for Sol Dorado,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.","[12, 35, 10751]",6.9,/r3d6u2n7iPoWNsSWwlJJWrDblOH.jpg
675308,Lingering,"When Yoo-mi searches out her mother's friend at a hotel to drop off her younger sister, she falls into unexpected mystery and horror.","[27, 9648]",6.6,/lWvi811WsBdBqFU8ZCg0ZWnHovQ.jpg
1151031,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",[27],7.448,/tObSf1VzzHt9xB0csanFtb3DRjf.jpg
611251,Jokōsei torio: seikan shiken,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?","[10749, 18]",8.0,/9GSLrU0aoR6Pi2FQ0ttXV2thSxJ.jpg
1268870,Nudus,"As she awakens from a prolonged coma, a woman is shocked to learn all the details of her life her captors her captors have access to.","[27, 53, 878]",4.0,/7gV1u6ozmtNBuWxfndldwEM4KlN.jpg
1269208,Wall to Wall,"A man who poured his life savings into a new apartment discovers its walls are full of disturbing noises, hostile neighbors and unsettling secrets.","[53, 18]",6.5,/lFBFACH8eAMtruR2UKLcpikw2gH.jpg
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.","[28, 12, 53]",7.2,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
1246369,Muromachi Burai,"Set in war-torn 15th century Kyoto, on the eve of the Onin War, the movie centers on a band of outlaws led by Hyoe (Oizumi) a scoundrel whose lethal sword skills place him at the tip of the spear in a deadly uprising against the corrupt Shogunate and its army, led by former friend-turned-archrival, Doken (Tsutsumi).","[28, 18]",9.2,/5sb7yYbvB7IstubeGqmS8x3gV2d.jpg
1087891,The Amateur,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.","[53, 28]",6.99,/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg
1275003,Spirit in the Blood,"After a young girl is found dead in a secluded religious mountain community, a pack of teenage girls decide to fight against the evil spirits they believe killed her by embracing their own dark nature.","[53, 27]",4.15,/1rEGnHwe4BqiARrjzcan6tmIisK.jpg
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","[10751, 35, 12, 14]",6.446,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
